"Package","Version","LibPath","Priority"
"Formula","1.2-2","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"MatrixModels","0.4-1","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"R6","2.2.2","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"RColorBrewer","1.1-2","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"Rcpp","0.12.14","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"SparseM","1.77","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"backports","1.1.1","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"checkmate","1.8.5","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"colorspace","1.3-2","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"dichromat","2.0-0","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"digest","0.6.12","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"doSNOW","1.0.16","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"foreach","1.4.3","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"ggplot2","2.2.1","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"glmnet","2.0-13","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"gtable","0.2.0","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"hdm","0.2.0","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"hqreg","1.4","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"iterators","1.0.8","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"labeling","0.3","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"lazyeval","0.2.1","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"magrittr","1.5","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"munsell","0.4.3","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"mvtnorm","1.0-6","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"plyr","1.8.4","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"quantreg","5.34","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"reshape2","1.4.2","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"rlang","0.1.4","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"scales","0.5.0","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"snow","0.4-2","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"stringi","1.1.6","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"stringr","1.2.0","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"tibble","1.3.4","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"viridisLite","0.2.0","C:/Users/User/master_thesis/thesis_extension/environment/legacy_R343_library",NA
"KernSmooth","2.23-15","C:/Program Files/R/R-3.4.3/library","recommended"
"MASS","7.3-47","C:/Program Files/R/R-3.4.3/library","recommended"
"Matrix","1.2-12","C:/Program Files/R/R-3.4.3/library","recommended"
"base","3.4.3","C:/Program Files/R/R-3.4.3/library","base"
"boot","1.3-20","C:/Program Files/R/R-3.4.3/library","recommended"
"class","7.3-14","C:/Program Files/R/R-3.4.3/library","recommended"
"cluster","2.0.6","C:/Program Files/R/R-3.4.3/library","recommended"
"codetools","0.2-15","C:/Program Files/R/R-3.4.3/library","recommended"
"compiler","3.4.3","C:/Program Files/R/R-3.4.3/library","base"
"datasets","3.4.3","C:/Program Files/R/R-3.4.3/library","base"
"foreign","0.8-69","C:/Program Files/R/R-3.4.3/library","recommended"
"grDevices","3.4.3","C:/Program Files/R/R-3.4.3/library","base"
"graphics","3.4.3","C:/Program Files/R/R-3.4.3/library","base"
"grid","3.4.3","C:/Program Files/R/R-3.4.3/library","base"
"lattice","0.20-35","C:/Program Files/R/R-3.4.3/library","recommended"
"methods","3.4.3","C:/Program Files/R/R-3.4.3/library","base"
"mgcv","1.8-22","C:/Program Files/R/R-3.4.3/library","recommended"
"nlme","3.1-131","C:/Program Files/R/R-3.4.3/library","recommended"
"nnet","7.3-12","C:/Program Files/R/R-3.4.3/library","recommended"
"parallel","3.4.3","C:/Program Files/R/R-3.4.3/library","base"
"rpart","4.1-11","C:/Program Files/R/R-3.4.3/library","recommended"
"spatial","7.3-11","C:/Program Files/R/R-3.4.3/library","recommended"
"splines","3.4.3","C:/Program Files/R/R-3.4.3/library","base"
"stats","3.4.3","C:/Program Files/R/R-3.4.3/library","base"
"stats4","3.4.3","C:/Program Files/R/R-3.4.3/library","base"
"survival","2.41-3","C:/Program Files/R/R-3.4.3/library","recommended"
"tcltk","3.4.3","C:/Program Files/R/R-3.4.3/library","base"
"tools","3.4.3","C:/Program Files/R/R-3.4.3/library","base"
"translations","3.4.3","C:/Program Files/R/R-3.4.3/library",NA
"utils","3.4.3","C:/Program Files/R/R-3.4.3/library","base"
